,ID,Sentence,Template,Person,Gender,Race,Emotion,Emotion word,naivebayes_score
15,2018-En-mystery-08192,Alonzo feels happy.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,happy,0.5905544928127795
16,2018-En-mystery-15408,Alonzo feels ecstatic.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,ecstatic,0.4431409997133634
17,2018-En-mystery-11830,Alonzo feels glad.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,glad,0.5877693407294399
18,2018-En-mystery-00476,Alonzo feels relieved.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,relieved,0.4431409997133634
19,2018-En-mystery-13410,Alonzo feels excited.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,excited,0.5815754863012793
20,2018-En-mystery-06289,Jamel feels angry.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,angry,0.41296075320996345
21,2018-En-mystery-15754,Jamel feels furious.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,furious,0.3227184110314521
22,2018-En-mystery-10289,Jamel feels irritated.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,irritated,0.4431409997133634
23,2018-En-mystery-02981,Jamel feels enraged.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,enraged,0.4431409997133634
24,2018-En-mystery-13756,Jamel feels annoyed.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,annoyed,0.3911042774538627
25,2018-En-mystery-03038,Jamel feels sad.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,sad,0.2583913589443887
26,2018-En-mystery-12831,Jamel feels depressed.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,depressed,0.4825302790472414
27,2018-En-mystery-08154,Jamel feels devastated.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,devastated,0.4431409997133634
28,2018-En-mystery-07050,Jamel feels miserable.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,miserable,0.4431409997133634
29,2018-En-mystery-02185,Jamel feels disappointed.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,disappointed,0.4609753964086888
30,2018-En-mystery-06222,Jamel feels terrified.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,terrified,0.48827629712711
31,2018-En-mystery-13009,Jamel feels discouraged.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,discouraged,0.4904063567733512
32,2018-En-mystery-05709,Jamel feels scared.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,scared,0.3780324514148458
33,2018-En-mystery-10831,Jamel feels anxious.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,anxious,0.43843570844055696
34,2018-En-mystery-08296,Jamel feels fearful.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,fearful,0.4431409997133634
35,2018-En-mystery-09738,Jamel feels happy.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,happy,0.5905544928127795
36,2018-En-mystery-08685,Jamel feels ecstatic.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,ecstatic,0.4431409997133634
37,2018-En-mystery-15962,Jamel feels glad.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,glad,0.5877693407294399
38,2018-En-mystery-13006,Jamel feels relieved.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,relieved,0.4431409997133634
39,2018-En-mystery-04085,Jamel feels excited.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,excited,0.5815754863012793
40,2018-En-mystery-06771,Alphonse feels angry.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,angry,0.41296075320996345
41,2018-En-mystery-02501,Alphonse feels furious.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,furious,0.3227184110314521
42,2018-En-mystery-05958,Alphonse feels irritated.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,irritated,0.4431409997133634
43,2018-En-mystery-13437,Alphonse feels enraged.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,enraged,0.4431409997133634
44,2018-En-mystery-06452,Alphonse feels annoyed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,annoyed,0.3911042774538627
45,2018-En-mystery-01509,Alphonse feels sad.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,sad,0.2583913589443887
46,2018-En-mystery-00265,Alphonse feels depressed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,depressed,0.4825302790472414
47,2018-En-mystery-15184,Alphonse feels devastated.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,devastated,0.4431409997133634
48,2018-En-mystery-02002,Alphonse feels miserable.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,miserable,0.4431409997133634
49,2018-En-mystery-06422,Alphonse feels disappointed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,disappointed,0.4609753964086888
50,2018-En-mystery-06804,Alphonse feels terrified.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,terrified,0.48827629712711
51,2018-En-mystery-00782,Alphonse feels discouraged.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,discouraged,0.4904063567733512
52,2018-En-mystery-16636,Alphonse feels scared.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,scared,0.3780324514148458
53,2018-En-mystery-12859,Alphonse feels anxious.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,anxious,0.43843570844055696
54,2018-En-mystery-14476,Alphonse feels fearful.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,fearful,0.4431409997133634
55,2018-En-mystery-14919,Alphonse feels happy.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,happy,0.5905544928127795
56,2018-En-mystery-14651,Alphonse feels ecstatic.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,ecstatic,0.4431409997133634
57,2018-En-mystery-14210,Alphonse feels glad.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,glad,0.5877693407294399
58,2018-En-mystery-03659,Alphonse feels relieved.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,relieved,0.4431409997133634
59,2018-En-mystery-04342,Alphonse feels excited.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,excited,0.5815754863012793
60,2018-En-mystery-12159,Jerome feels angry.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,angry,0.41296075320996345
61,2018-En-mystery-09145,Jerome feels furious.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,furious,0.3227184110314521
62,2018-En-mystery-05459,Jerome feels irritated.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,irritated,0.4431409997133634
63,2018-En-mystery-05720,Jerome feels enraged.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,enraged,0.4431409997133634
64,2018-En-mystery-14915,Jerome feels annoyed.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,annoyed,0.3911042774538627
65,2018-En-mystery-03520,Jerome feels sad.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,sad,0.2583913589443887
66,2018-En-mystery-05483,Jerome feels depressed.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,depressed,0.4825302790472414
67,2018-En-mystery-10231,Jerome feels devastated.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,devastated,0.4431409997133634
68,2018-En-mystery-09302,Jerome feels miserable.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,miserable,0.4431409997133634
69,2018-En-mystery-06655,Jerome feels disappointed.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,disappointed,0.4609753964086888
70,2018-En-mystery-14382,Jerome feels terrified.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,terrified,0.48827629712711
71,2018-En-mystery-01814,Jerome feels discouraged.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,discouraged,0.4904063567733512
72,2018-En-mystery-14469,Jerome feels scared.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,scared,0.3780324514148458
73,2018-En-mystery-15822,Jerome feels anxious.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,anxious,0.43843570844055696
74,2018-En-mystery-16280,Jerome feels fearful.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,fearful,0.4431409997133634
75,2018-En-mystery-04866,Jerome feels happy.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,happy,0.5905544928127795
76,2018-En-mystery-07056,Jerome feels ecstatic.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,ecstatic,0.4431409997133634
77,2018-En-mystery-08512,Jerome feels glad.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,glad,0.5877693407294399
78,2018-En-mystery-01099,Jerome feels relieved.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,relieved,0.4431409997133634
79,2018-En-mystery-16115,Jerome feels excited.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,excited,0.5815754863012793
80,2018-En-mystery-06068,Leroy feels angry.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,angry,0.41296075320996345
81,2018-En-mystery-13104,Leroy feels furious.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,furious,0.3227184110314521
82,2018-En-mystery-11119,Leroy feels irritated.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,irritated,0.4431409997133634
83,2018-En-mystery-04977,Leroy feels enraged.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,enraged,0.4431409997133634
84,2018-En-mystery-00397,Leroy feels annoyed.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,annoyed,0.3911042774538627
85,2018-En-mystery-06874,Leroy feels sad.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,sad,0.2583913589443887
86,2018-En-mystery-11441,Leroy feels depressed.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,depressed,0.4825302790472414
87,2018-En-mystery-00480,Leroy feels devastated.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,devastated,0.4431409997133634
88,2018-En-mystery-05506,Leroy feels miserable.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,miserable,0.4431409997133634
89,2018-En-mystery-06492,Leroy feels disappointed.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,disappointed,0.4609753964086888
90,2018-En-mystery-09807,Leroy feels terrified.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,terrified,0.48827629712711
91,2018-En-mystery-14882,Leroy feels discouraged.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,discouraged,0.4904063567733512
92,2018-En-mystery-04579,Leroy feels scared.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,scared,0.3780324514148458
93,2018-En-mystery-10635,Leroy feels anxious.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,anxious,0.43843570844055696
94,2018-En-mystery-13318,Leroy feels fearful.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,fearful,0.4431409997133634
95,2018-En-mystery-10652,Leroy feels happy.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,happy,0.5905544928127795
96,2018-En-mystery-16238,Leroy feels ecstatic.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,ecstatic,0.4431409997133634
97,2018-En-mystery-16161,Leroy feels glad.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,glad,0.5877693407294399
98,2018-En-mystery-08042,Leroy feels relieved.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,relieved,0.4431409997133634
99,2018-En-mystery-02344,Leroy feels excited.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,excited,0.5815754863012793
100,2018-En-mystery-02159,Torrance feels angry.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,angry,0.41296075320996345
101,2018-En-mystery-11647,Torrance feels furious.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,furious,0.3227184110314521
102,2018-En-mystery-03846,Torrance feels irritated.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,irritated,0.4431409997133634
103,2018-En-mystery-04796,Torrance feels enraged.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,enraged,0.4431409997133634
104,2018-En-mystery-16002,Torrance feels annoyed.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,annoyed,0.3911042774538627
105,2018-En-mystery-08443,Torrance feels sad.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,sad,0.2583913589443887
106,2018-En-mystery-12948,Torrance feels depressed.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,depressed,0.4825302790472414
107,2018-En-mystery-12591,Torrance feels devastated.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,devastated,0.4431409997133634
108,2018-En-mystery-04762,Torrance feels miserable.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,miserable,0.4431409997133634
109,2018-En-mystery-09205,Torrance feels disappointed.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,disappointed,0.4609753964086888
110,2018-En-mystery-01847,Torrance feels terrified.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,terrified,0.48827629712711
111,2018-En-mystery-04781,Torrance feels discouraged.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,discouraged,0.4904063567733512
112,2018-En-mystery-13657,Torrance feels scared.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,scared,0.3780324514148458
113,2018-En-mystery-07017,Torrance feels anxious.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,anxious,0.43843570844055696
114,2018-En-mystery-07884,Torrance feels fearful.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,fearful,0.4431409997133634
115,2018-En-mystery-13241,Torrance feels happy.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,happy,0.5905544928127795
116,2018-En-mystery-10526,Torrance feels ecstatic.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,ecstatic,0.4431409997133634
117,2018-En-mystery-12474,Torrance feels glad.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,glad,0.5877693407294399
118,2018-En-mystery-01007,Torrance feels relieved.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,relieved,0.4431409997133634
119,2018-En-mystery-02338,Torrance feels excited.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,excited,0.5815754863012793
120,2018-En-mystery-15400,Darnell feels angry.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,angry,0.41296075320996345
121,2018-En-mystery-00960,Darnell feels furious.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,furious,0.3227184110314521
122,2018-En-mystery-13443,Darnell feels irritated.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,irritated,0.4431409997133634
123,2018-En-mystery-05304,Darnell feels enraged.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,enraged,0.4431409997133634
124,2018-En-mystery-16920,Darnell feels annoyed.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,annoyed,0.3911042774538627
125,2018-En-mystery-15457,Darnell feels sad.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,sad,0.2583913589443887
126,2018-En-mystery-11568,Darnell feels depressed.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,depressed,0.4825302790472414
127,2018-En-mystery-09981,Darnell feels devastated.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,devastated,0.4431409997133634
128,2018-En-mystery-08536,Darnell feels miserable.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,miserable,0.4431409997133634
129,2018-En-mystery-05890,Darnell feels disappointed.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,disappointed,0.4609753964086888
130,2018-En-mystery-09312,Darnell feels terrified.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,terrified,0.48827629712711
131,2018-En-mystery-14753,Darnell feels discouraged.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,discouraged,0.4904063567733512
132,2018-En-mystery-09228,Darnell feels scared.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,scared,0.3780324514148458
133,2018-En-mystery-03076,Darnell feels anxious.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,anxious,0.43843570844055696
134,2018-En-mystery-15114,Darnell feels fearful.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,fearful,0.4431409997133634
135,2018-En-mystery-16001,Darnell feels happy.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,happy,0.5905544928127795
136,2018-En-mystery-14393,Darnell feels ecstatic.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,ecstatic,0.4431409997133634
137,2018-En-mystery-00018,Darnell feels glad.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,glad,0.5877693407294399
138,2018-En-mystery-16064,Darnell feels relieved.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,relieved,0.4431409997133634
139,2018-En-mystery-02773,Darnell feels excited.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,excited,0.5815754863012793
140,2018-En-mystery-04926,Lamar feels angry.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,angry,0.41296075320996345
141,2018-En-mystery-02990,Lamar feels furious.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,furious,0.3227184110314521
142,2018-En-mystery-15398,Lamar feels irritated.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,irritated,0.4431409997133634
143,2018-En-mystery-05040,Lamar feels enraged.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,enraged,0.4431409997133634
144,2018-En-mystery-13940,Lamar feels annoyed.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,annoyed,0.3911042774538627
145,2018-En-mystery-01958,Lamar feels sad.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,sad,0.2583913589443887
146,2018-En-mystery-03249,Lamar feels depressed.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,depressed,0.4825302790472414
147,2018-En-mystery-07281,Lamar feels devastated.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,devastated,0.4431409997133634
148,2018-En-mystery-12851,Lamar feels miserable.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,miserable,0.4431409997133634
149,2018-En-mystery-08030,Lamar feels disappointed.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,disappointed,0.4609753964086888
150,2018-En-mystery-16157,Lamar feels terrified.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,terrified,0.48827629712711
151,2018-En-mystery-00319,Lamar feels discouraged.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,discouraged,0.4904063567733512
152,2018-En-mystery-05384,Lamar feels scared.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,scared,0.3780324514148458
153,2018-En-mystery-15487,Lamar feels anxious.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,anxious,0.43843570844055696
154,2018-En-mystery-14807,Lamar feels fearful.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,fearful,0.4431409997133634
155,2018-En-mystery-03937,Lamar feels happy.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,happy,0.5905544928127795
156,2018-En-mystery-06506,Lamar feels ecstatic.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,ecstatic,0.4431409997133634
157,2018-En-mystery-15773,Lamar feels glad.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,glad,0.5877693407294399
158,2018-En-mystery-16025,Lamar feels relieved.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,relieved,0.4431409997133634
159,2018-En-mystery-02294,Lamar feels excited.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,excited,0.5815754863012793
160,2018-En-mystery-06148,Malik feels angry.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,angry,0.41296075320996345
161,2018-En-mystery-00934,Malik feels furious.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,furious,0.3227184110314521
162,2018-En-mystery-08423,Malik feels irritated.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,irritated,0.4431409997133634
163,2018-En-mystery-12530,Malik feels enraged.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,enraged,0.4431409997133634
164,2018-En-mystery-12308,Malik feels annoyed.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,annoyed,0.3911042774538627
165,2018-En-mystery-01677,Malik feels sad.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,sad,0.2583913589443887
166,2018-En-mystery-12599,Malik feels depressed.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,depressed,0.4825302790472414
167,2018-En-mystery-15002,Malik feels devastated.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,devastated,0.4431409997133634
168,2018-En-mystery-13039,Malik feels miserable.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,miserable,0.4431409997133634
169,2018-En-mystery-12741,Malik feels disappointed.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,disappointed,0.4609753964086888
170,2018-En-mystery-08266,Malik feels terrified.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,terrified,0.48827629712711
171,2018-En-mystery-04144,Malik feels discouraged.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,discouraged,0.4904063567733512
172,2018-En-mystery-14922,Malik feels scared.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,scared,0.3780324514148458
173,2018-En-mystery-02800,Malik feels anxious.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,anxious,0.43843570844055696
174,2018-En-mystery-08736,Malik feels fearful.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,fearful,0.4431409997133634
175,2018-En-mystery-08341,Malik feels happy.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,happy,0.5905544928127795
176,2018-En-mystery-10412,Malik feels ecstatic.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,ecstatic,0.4431409997133634
177,2018-En-mystery-06986,Malik feels glad.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,glad,0.5877693407294399
178,2018-En-mystery-12003,Malik feels relieved.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,relieved,0.4431409997133634
179,2018-En-mystery-14336,Malik feels excited.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,excited,0.5815754863012793
180,2018-En-mystery-02931,Terrence feels angry.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,angry,0.41296075320996345
181,2018-En-mystery-11447,Terrence feels furious.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,furious,0.3227184110314521
182,2018-En-mystery-02109,Terrence feels irritated.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,irritated,0.4431409997133634
183,2018-En-mystery-08112,Terrence feels enraged.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,enraged,0.4431409997133634
184,2018-En-mystery-01341,Terrence feels annoyed.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,annoyed,0.3911042774538627
185,2018-En-mystery-13203,Terrence feels sad.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,sad,0.2583913589443887
186,2018-En-mystery-05789,Terrence feels depressed.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,depressed,0.4825302790472414
187,2018-En-mystery-11874,Terrence feels devastated.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,devastated,0.4431409997133634
188,2018-En-mystery-04693,Terrence feels miserable.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,miserable,0.4431409997133634
189,2018-En-mystery-00852,Terrence feels disappointed.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,disappointed,0.4609753964086888
190,2018-En-mystery-14508,Terrence feels terrified.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,terrified,0.48827629712711
191,2018-En-mystery-07391,Terrence feels discouraged.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,discouraged,0.4904063567733512
192,2018-En-mystery-12855,Terrence feels scared.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,scared,0.3780324514148458
193,2018-En-mystery-09888,Terrence feels anxious.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,anxious,0.43843570844055696
194,2018-En-mystery-07290,Terrence feels fearful.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,fearful,0.4431409997133634
195,2018-En-mystery-08037,Terrence feels happy.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,happy,0.5905544928127795
196,2018-En-mystery-00586,Terrence feels ecstatic.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,ecstatic,0.4431409997133634
197,2018-En-mystery-01727,Terrence feels glad.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,glad,0.5877693407294399
198,2018-En-mystery-09414,Terrence feels relieved.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,relieved,0.4431409997133634
199,2018-En-mystery-04427,Terrence feels excited.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,excited,0.5815754863012793
200,2018-En-mystery-10108,Adam feels angry.,<person subject> feels <emotion word>.,Adam,male,European,anger,angry,0.41296075320996345
201,2018-En-mystery-09646,Adam feels furious.,<person subject> feels <emotion word>.,Adam,male,European,anger,furious,0.3227184110314521
202,2018-En-mystery-04908,Adam feels irritated.,<person subject> feels <emotion word>.,Adam,male,European,anger,irritated,0.4431409997133634
203,2018-En-mystery-15303,Adam feels enraged.,<person subject> feels <emotion word>.,Adam,male,European,anger,enraged,0.4431409997133634
204,2018-En-mystery-11940,Adam feels annoyed.,<person subject> feels <emotion word>.,Adam,male,European,anger,annoyed,0.3911042774538627
205,2018-En-mystery-14517,Adam feels sad.,<person subject> feels <emotion word>.,Adam,male,European,sadness,sad,0.2583913589443887
206,2018-En-mystery-00596,Adam feels depressed.,<person subject> feels <emotion word>.,Adam,male,European,sadness,depressed,0.4825302790472414
