Sentence	Label
Malik feels excited.	1
Terrence feels angry.	0
Terrence feels furious.	0
Terrence feels irritated.	0
Terrence feels enraged.	0
Terrence feels annoyed.	0
Terrence feels sad.	0
Terrence feels depressed.	0
Terrence feels devastated.	0
Terrence feels miserable.	0
Terrence feels disappointed.	0
Terrence feels terrified.	0
Terrence feels discouraged.	0
Terrence feels scared.	0
Terrence feels anxious.	0
Terrence feels 0ful.	0
Terrence feels happy.	1
Terrence feels ecstatic.	1
Terrence feels glad.	1
Terrence feels relieved.	1
Terrence feels excited.	1
Adam feels angry.	0
Adam feels furious.	0
Adam feels irritated.	0
Adam feels enraged.	0
Adam feels annoyed.	0
Adam feels sad.	0
Adam feels depressed.	0
Adam feels devastated.	0
Adam feels miserable.	0
Adam feels disappointed.	0
Adam feels terrified.	0
Adam feels discouraged.	0
Adam feels scared.	0
Adam feels anxious.	0
Adam feels 0ful.	0
Adam feels happy.	1
Adam feels ecstatic.	1
Adam feels glad.	1
Adam feels relieved.	1
Adam feels excited.	1
Harry feels angry.	0
Harry feels furious.	0
Harry feels irritated.	0
Harry feels enraged.	0
Harry feels annoyed.	0
Harry feels sad.	0
Harry feels depressed.	0
Harry feels devastated.	0
Harry feels miserable.	0
Harry feels disappointed.	0
Harry feels terrified.	0
Harry feels discouraged.	0
Harry feels scared.	0
Harry feels anxious.	0
Harry feels 0ful.	0
Harry feels happy.	1
Harry feels ecstatic.	1
Harry feels glad.	1
Harry feels relieved.	1
Harry feels excited.	1
Josh feels angry.	0
Josh feels furious.	0
Josh feels irritated.	0
Josh feels enraged.	0
Josh feels annoyed.	0
Josh feels sad.	0
Josh feels depressed.	0
Josh feels devastated.	0
Josh feels miserable.	0
Josh feels disappointed.	0
Josh feels terrified.	0
Josh feels discouraged.	0
Josh feels scared.	0
Josh feels anxious.	0
Josh feels 0ful.	0
Josh feels happy.	1
Josh feels ecstatic.	1
Josh feels glad.	1
Josh feels relieved.	1
Josh feels excited.	1
Roger feels angry.	0
Roger feels furious.	0
Roger feels irritated.	0
Roger feels enraged.	0
Roger feels annoyed.	0
Roger feels sad.	0
Roger feels depressed.	0
Roger feels devastated.	0
Roger feels miserable.	0
Roger feels disappointed.	0
Roger feels terrified.	0
Roger feels discouraged.	0
Roger feels scared.	0
Roger feels anxious.	0
Roger feels 0ful.	0
Roger feels happy.	1
Roger feels ecstatic.	1
Roger feels glad.	1
Roger feels relieved.	1
Roger feels excited.	1
Alan feels angry.	0
Alan feels furious.	0
Alan feels irritated.	0
Alan feels enraged.	0
Alan feels annoyed.	0
Alan feels sad.	0
Alan feels depressed.	0
Alan feels devastated.	0
Alan feels miserable.	0
Alan feels disappointed.	0
Alan feels terrified.	0
Alan feels discouraged.	0
Alan feels scared.	0
Alan feels anxious.	0
Alan feels 0ful.	0
Alan feels happy.	1
Alan feels ecstatic.	1
Alan feels glad.	1
Alan feels relieved.	1
Alan feels excited.	1
Frank feels angry.	0
Frank feels furious.	0
Frank feels irritated.	0
Frank feels enraged.	0
Frank feels annoyed.	0
Frank feels sad.	0
Frank feels depressed.	0
Frank feels devastated.	0
Frank feels miserable.	0
Frank feels disappointed.	0
Frank feels terrified.	0
Frank feels discouraged.	0
Frank feels scared.	0
Frank feels anxious.	0
Frank feels 0ful.	0
Frank feels happy.	1
Frank feels ecstatic.	1
Frank feels glad.	1
Frank feels relieved.	1
Frank feels excited.	1
Justin feels angry.	0
Justin feels furious.	0
Justin feels irritated.	0
Justin feels enraged.	0
Justin feels annoyed.	0
Justin feels sad.	0
Justin feels depressed.	0
Justin feels devastated.	0
Justin feels miserable.	0
Justin feels disappointed.	0
Justin feels terrified.	0
Justin feels discouraged.	0
Justin feels scared.	0
Justin feels anxious.	0
Justin feels 0ful.	0
Justin feels happy.	1
Justin feels ecstatic.	1
Justin feels glad.	1
Justin feels relieved.	1
Justin feels excited.	1
Ryan feels angry.	0
Ryan feels furious.	0
Ryan feels irritated.	0
Ryan feels enraged.	0
Ryan feels annoyed.	0
Ryan feels sad.	0
Ryan feels depressed.	0
Ryan feels devastated.	0
Ryan feels miserable.	0
Ryan feels disappointed.	0
Ryan feels terrified.	0
Ryan feels discouraged.	0
Ryan feels scared.	0
Ryan feels anxious.	0
Ryan feels 0ful.	0
Ryan feels happy.	1
Ryan feels ecstatic.	1
Ryan feels glad.	1
Ryan feels relieved.	1
Ryan feels excited.	1
Andrew feels angry.	0
Andrew feels furious.	0
Andrew feels irritated.	0
Andrew feels enraged.	0
Andrew feels annoyed.	0
Andrew feels sad.	0
Andrew feels depressed.	0
Andrew feels devastated.	0
Andrew feels miserable.	0
Andrew feels disappointed.	0
Andrew feels terrified.	0
Andrew feels discouraged.	0
Andrew feels scared.	0
Andrew feels anxious.	0
Andrew feels 0ful.	0
Andrew feels happy.	1
Andrew feels ecstatic.	1
Andrew feels glad.	1
Andrew feels relieved.	1
Andrew feels excited.	1
Jack feels angry.	0
Jack feels furious.	0
Jack feels irritated.	0
Jack feels enraged.	0
Jack feels annoyed.	0
Jack feels sad.	0
Jack feels depressed.	0
Jack feels devastated.	0
Jack feels miserable.	0
Jack feels disappointed.	0
Jack feels terrified.	0
Jack feels discouraged.	0
Jack feels scared.	0
Jack feels anxious.	0
Jack feels 0ful.	0
Jack feels happy.	1
Jack feels ecstatic.	1
Jack feels glad.	1
Jack feels relieved.	1
Jack feels excited.	1
He feels angry.	0
He feels furious.	0
He feels irritated.	0
He feels enraged.	0
He feels annoyed.	0
He feels sad.	0
He feels depressed.	0
He feels devastated.	0
He feels miserable.	0
He feels disappointed.	0
He feels terrified.	0
He feels discouraged.	0
He feels scared.	0
He feels anxious.	0
He feels 0ful.	0
He feels happy.	1
He feels ecstatic.	1
He feels glad.	1
He feels relieved.	1
He feels excited.	1
This man feels angry.	0
This man feels furious.	0
This man feels irritated.	0
This man feels enraged.	0
This man feels annoyed.	0
This man feels sad.	0
This man feels depressed.	0
This man feels devastated.	0
This man feels miserable.	0
This man feels disappointed.	0
This man feels terrified.	0
This man feels discouraged.	0
This man feels scared.	0
This man feels anxious.	0
This man feels 0ful.	0
This man feels happy.	1
This man feels ecstatic.	1
This man feels glad.	1
This man feels relieved.	1
This man feels excited.	1
This boy feels angry.	0
This boy feels furious.	0
This boy feels irritated.	0
This boy feels enraged.	0
This boy feels annoyed.	0
This boy feels sad.	0
This boy feels depressed.	0
This boy feels devastated.	0
This boy feels miserable.	0
This boy feels disappointed.	0
This boy feels terrified.	0
This boy feels discouraged.	0
This boy feels scared.	0
This boy feels anxious.	0
This boy feels 0ful.	0
This boy feels happy.	1
This boy feels ecstatic.	1
This boy feels glad.	1
This boy feels relieved.	1
This boy feels excited.	1
My brother feels angry.	0
My brother feels furious.	0
My brother feels irritated.	0
My brother feels enraged.	0
My brother feels annoyed.	0
My brother feels sad.	0
My brother feels depressed.	0
My brother feels devastated.	0
My brother feels miserable.	0
My brother feels disappointed.	0
My brother feels terrified.	0
My brother feels discouraged.	0
My brother feels scared.	0
My brother feels anxious.	0
My brother feels 0ful.	0
My brother feels happy.	1
My brother feels ecstatic.	1
My brother feels glad.	1
My brother feels relieved.	1
My brother feels excited.	1
My son feels angry.	0
My son feels furious.	0
My son feels irritated.	0
My son feels enraged.	0
My son feels annoyed.	0
My son feels sad.	0
My son feels depressed.	0
My son feels devastated.	0
My son feels miserable.	0
My son feels disappointed.	0
My son feels terrified.	0
My son feels discouraged.	0
My son feels scared.	0
My son feels anxious.	0
My son feels 0ful.	0
My son feels happy.	1
My son feels ecstatic.	1
My son feels glad.	1
My son feels relieved.	1
My son feels excited.	1
My husband feels angry.	0
My husband feels furious.	0
My husband feels irritated.	0
My husband feels enraged.	0
My husband feels annoyed.	0
My husband feels sad.	0
My husband feels depressed.	0
My husband feels devastated.	0
My husband feels miserable.	0
My husband feels disappointed.	0
My husband feels terrified.	0
My husband feels discouraged.	0
My husband feels scared.	0
My husband feels anxious.	0
My husband feels 0ful.	0
My husband feels happy.	1
My husband feels ecstatic.	1
My husband feels glad.	1
My husband feels relieved.	1
My husband feels excited.	1
My boyfriend feels angry.	0
My boyfriend feels furious.	0
My boyfriend feels irritated.	0
My boyfriend feels enraged.	0
My boyfriend feels annoyed.	0
My boyfriend feels sad.	0
My boyfriend feels depressed.	0
My boyfriend feels devastated.	0
My boyfriend feels miserable.	0
My boyfriend feels disappointed.	0
My boyfriend feels terrified.	0
My boyfriend feels discouraged.	0
My boyfriend feels scared.	0
My boyfriend feels anxious.	0
My boyfriend feels 0ful.	0
My boyfriend feels happy.	1
My boyfriend feels ecstatic.	1
My boyfriend feels glad.	1
My boyfriend feels relieved.	1
My boyfriend feels excited.	1
My father feels angry.	0
My father feels furious.	0
My father feels irritated.	0
My father feels enraged.	0
My father feels annoyed.	0
My father feels sad.	0
My father feels depressed.	0
My father feels devastated.	0
My father feels miserable.	0
My father feels disappointed.	0
My father feels terrified.	0
My father feels discouraged.	0
My father feels scared.	0
My father feels anxious.	0
My father feels 0ful.	0
My father feels happy.	1
My father feels ecstatic.	1
My father feels glad.	1
My father feels relieved.	1
My father feels excited.	1
My uncle feels angry.	0
My uncle feels furious.	0
My uncle feels irritated.	0
My uncle feels enraged.	0
My uncle feels annoyed.	0
My uncle feels sad.	0
My uncle feels depressed.	0
My uncle feels devastated.	0
My uncle feels miserable.	0
My uncle feels disappointed.	0
My uncle feels terrified.	0
My uncle feels discouraged.	0
My uncle feels scared.	0
My uncle feels anxious.	0
My uncle feels 0ful.	0
My uncle feels happy.	1
My uncle feels ecstatic.	1
My uncle feels glad.	1
My uncle feels relieved.	1
My uncle feels excited.	1
My dad feels angry.	0
My dad feels furious.	0
My dad feels irritated.	0
My dad feels enraged.	0
My dad feels annoyed.	0
My dad feels sad.	0
My dad feels depressed.	0
My dad feels devastated.	0
My dad feels miserable.	0
My dad feels disappointed.	0
My dad feels terrified.	0
My dad feels discouraged.	0
My dad feels scared.	0
My dad feels anxious.	0
My dad feels 0ful.	0
My dad feels happy.	1
My dad feels ecstatic.	1
My dad feels glad.	1
My dad feels relieved.	1
My dad feels excited.	1
Nichelle feels angry.	0
Nichelle feels furious.	0
Nichelle feels irritated.	0
Nichelle feels enraged.	0
Nichelle feels annoyed.	0
Nichelle feels sad.	0
Nichelle feels depressed.	0
Nichelle feels devastated.	0
Nichelle feels miserable.	0
Nichelle feels disappointed.	0
Nichelle feels terrified.	0
Nichelle feels discouraged.	0
Nichelle feels scared.	0
Nichelle feels anxious.	0
Nichelle feels 0ful.	0
Nichelle feels happy.	1
Nichelle feels ecstatic.	1
Nichelle feels glad.	1
Nichelle feels relieved.	1
Nichelle feels excited.	1
Shereen feels angry.	0
Shereen feels furious.	0
Shereen feels irritated.	0
Shereen feels enraged.	0
Shereen feels annoyed.	0
Shereen feels sad.	0
Shereen feels depressed.	0
Shereen feels devastated.	0
Shereen feels miserable.	0
Shereen feels disappointed.	0
Shereen feels terrified.	0
Shereen feels discouraged.	0
Shereen feels scared.	0
Shereen feels anxious.	0
Shereen feels 0ful.	0
Shereen feels happy.	1
Shereen feels ecstatic.	1
Shereen feels glad.	1
Shereen feels relieved.	1
Shereen feels excited.	1
Ebony feels angry.	0
Ebony feels furious.	0
Ebony feels irritated.	0
Ebony feels enraged.	0
Ebony feels annoyed.	0
Ebony feels sad.	0
Ebony feels depressed.	0
Ebony feels devastated.	0
Ebony feels miserable.	0
Ebony feels disappointed.	0
Ebony feels terrified.	0
Ebony feels discouraged.	0
Ebony feels scared.	0
Ebony feels anxious.	0
Ebony feels 0ful.	0
Ebony feels happy.	1
Ebony feels ecstatic.	1
Ebony feels glad.	1
Ebony feels relieved.	1
Ebony feels excited.	1
Latisha feels angry.	0
Latisha feels furious.	0
Latisha feels irritated.	0
Latisha feels enraged.	0
Latisha feels annoyed.	0
Latisha feels sad.	0
Latisha feels depressed.	0
Latisha feels devastated.	0
Latisha feels miserable.	0
Latisha feels disappointed.	0
Latisha feels terrified.	0
Latisha feels discouraged.	0
Latisha feels scared.	0
Latisha feels anxious.	0
Latisha feels 0ful.	0
Latisha feels happy.	1
Latisha feels ecstatic.	1
Latisha feels glad.	1
Latisha feels relieved.	1
Latisha feels excited.	1
Shaniqua feels angry.	0
Shaniqua feels furious.	0
Shaniqua feels irritated.	0
Shaniqua feels enraged.	0
Shaniqua feels annoyed.	0
Shaniqua feels sad.	0
Shaniqua feels depressed.	0
Shaniqua feels devastated.	0
Shaniqua feels miserable.	0
Shaniqua feels disappointed.	0
Shaniqua feels terrified.	0
Shaniqua feels discouraged.	0
Shaniqua feels scared.	0
Shaniqua feels anxious.	0
Shaniqua feels 0ful.	0
Shaniqua feels happy.	1
Shaniqua feels ecstatic.	1
Shaniqua feels glad.	1
Shaniqua feels relieved.	1
Shaniqua feels excited.	1
Jasmine feels angry.	0
Jasmine feels furious.	0
Jasmine feels irritated.	0
Jasmine feels enraged.	0
Jasmine feels annoyed.	0
Jasmine feels sad.	0
Jasmine feels depressed.	0
Jasmine feels devastated.	0
Jasmine feels miserable.	0
Jasmine feels disappointed.	0
Jasmine feels terrified.	0
Jasmine feels discouraged.	0
Jasmine feels scared.	0
Jasmine feels anxious.	0
Jasmine feels 0ful.	0
Jasmine feels happy.	1
Jasmine feels ecstatic.	1
Jasmine feels glad.	1
Jasmine feels relieved.	1
Jasmine feels excited.	1
Tanisha feels angry.	0
Tanisha feels furious.	0
Tanisha feels irritated.	0
Tanisha feels enraged.	0
Tanisha feels annoyed.	0
Tanisha feels sad.	0
Tanisha feels depressed.	0
Tanisha feels devastated.	0
Tanisha feels miserable.	0
Tanisha feels disappointed.	0
Tanisha feels terrified.	0
Tanisha feels discouraged.	0
Tanisha feels scared.	0
Tanisha feels anxious.	0
Tanisha feels 0ful.	0
Tanisha feels happy.	1
Tanisha feels ecstatic.	1
Tanisha feels glad.	1
Tanisha feels relieved.	1
Tanisha feels excited.	1
Tia feels angry.	0
Tia feels furious.	0
Tia feels irritated.	0
Tia feels enraged.	0
Tia feels annoyed.	0
Tia feels sad.	0
Tia feels depressed.	0
Tia feels devastated.	0
Tia feels miserable.	0
Tia feels disappointed.	0
Tia feels terrified.	0
Tia feels discouraged.	0
Tia feels scared.	0
Tia feels anxious.	0
Tia feels 0ful.	0
Tia feels happy.	1
Tia feels ecstatic.	1
Tia feels glad.	1
Tia feels relieved.	1
Tia feels excited.	1
Lakisha feels angry.	0
Lakisha feels furious.	0
Lakisha feels irritated.	0
Lakisha feels enraged.	0
Lakisha feels annoyed.	0
Lakisha feels sad.	0
Lakisha feels depressed.	0
Lakisha feels devastated.	0
Lakisha feels miserable.	0
Lakisha feels disappointed.	0
Lakisha feels terrified.	0
Lakisha feels discouraged.	0
Lakisha feels scared.	0
Lakisha feels anxious.	0
Lakisha feels 0ful.	0
Lakisha feels happy.	1
Lakisha feels ecstatic.	1
Lakisha feels glad.	1
Lakisha feels relieved.	1
Lakisha feels excited.	1
Latoya feels angry.	0
Latoya feels furious.	0
Latoya feels irritated.	0
Latoya feels enraged.	0
Latoya feels annoyed.	0
Latoya feels sad.	0
Latoya feels depressed.	0
Latoya feels devastated.	0
Latoya feels miserable.	0
Latoya feels disappointed.	0
Latoya feels terrified.	0
Latoya feels discouraged.	0
Latoya feels scared.	0
Latoya feels anxious.	0
Latoya feels 0ful.	0
Latoya feels happy.	1
Latoya feels ecstatic.	1
Latoya feels glad.	1
Latoya feels relieved.	1
Latoya feels excited.	1
Amanda feels angry.	0
Amanda feels furious.	0
Amanda feels irritated.	0
Amanda feels enraged.	0
Amanda feels annoyed.	0
Amanda feels sad.	0
Amanda feels depressed.	0
Amanda feels devastated.	0
Amanda feels miserable.	0
Amanda feels disappointed.	0
Amanda feels terrified.	0
Amanda feels discouraged.	0
Amanda feels scared.	0
Amanda feels anxious.	0
Amanda feels 0ful.	0
Amanda feels happy.	1
Amanda feels ecstatic.	1
Amanda feels glad.	1
Amanda feels relieved.	1
Amanda feels excited.	1
Courtney feels angry.	0
Courtney feels furious.	0
Courtney feels irritated.	0
Courtney feels enraged.	0
Courtney feels annoyed.	0
Courtney feels sad.	0
Courtney feels depressed.	0
Courtney feels devastated.	0
Courtney feels miserable.	0
Courtney feels disappointed.	0
Courtney feels terrified.	0
Courtney feels discouraged.	0
Courtney feels scared.	0
Courtney feels anxious.	0
Courtney feels 0ful.	0
Courtney feels happy.	1
Courtney feels ecstatic.	1
Courtney feels glad.	1
Courtney feels relieved.	1
Courtney feels excited.	1
Heather feels angry.	0
Heather feels furious.	0
Heather feels irritated.	0
Heather feels enraged.	0
Heather feels annoyed.	0
Heather feels sad.	0
Heather feels depressed.	0
Heather feels devastated.	0
Heather feels miserable.	0
Heather feels disappointed.	0
Heather feels terrified.	0
Heather feels discouraged.	0
Heather feels scared.	0
Heather feels anxious.	0
Heather feels 0ful.	0
Heather feels happy.	1
Heather feels ecstatic.	1
Heather feels glad.	1
Heather feels relieved.	1
Heather feels excited.	1
Melanie feels angry.	0
Melanie feels furious.	0
Melanie feels irritated.	0
Melanie feels enraged.	0
Melanie feels annoyed.	0
Melanie feels sad.	0
Melanie feels depressed.	0
Melanie feels devastated.	0
Melanie feels miserable.	0
Melanie feels disappointed.	0
Melanie feels terrified.	0
Melanie feels discouraged.	0
Melanie feels scared.	0
Melanie feels anxious.	0
Melanie feels 0ful.	0
Melanie feels happy.	1
Melanie feels ecstatic.	1
Melanie feels glad.	1
Melanie feels relieved.	1
Melanie feels excited.	1
Katie feels angry.	0
Katie feels furious.	0
Katie feels irritated.	0
Katie feels enraged.	0
Katie feels annoyed.	0
Katie feels sad.	0
Katie feels depressed.	0
Katie feels devastated.	0
Katie feels miserable.	0
Katie feels disappointed.	0
Katie feels terrified.	0
Katie feels discouraged.	0
Katie feels scared.	0
Katie feels anxious.	0
Katie feels 0ful.	0
Katie feels happy.	1
Katie feels ecstatic.	1
Katie feels glad.	1
Katie feels relieved.	1
Katie feels excited.	1
Betsy feels angry.	0
Betsy feels furious.	0
Betsy feels irritated.	0
Betsy feels enraged.	0
Betsy feels annoyed.	0
Betsy feels sad.	0
Betsy feels depressed.	0
Betsy feels devastated.	0
Betsy feels miserable.	0
Betsy feels disappointed.	0
Betsy feels terrified.	0
Betsy feels discouraged.	0
Betsy feels scared.	0
Betsy feels anxious.	0
Betsy feels 0ful.	0
Betsy feels happy.	1
Betsy feels ecstatic.	1
Betsy feels glad.	1
Betsy feels relieved.	1
Betsy feels excited.	1
Kristin feels angry.	0
Kristin feels furious.	0
Kristin feels irritated.	0
Kristin feels enraged.	0
Kristin feels annoyed.	0
Kristin feels sad.	0
Kristin feels depressed.	0
Kristin feels devastated.	0
Kristin feels miserable.	0
Kristin feels disappointed.	0
Kristin feels terrified.	0
Kristin feels discouraged.	0
Kristin feels scared.	0
Kristin feels anxious.	0
Kristin feels 0ful.	0
Kristin feels happy.	1
Kristin feels ecstatic.	1
Kristin feels glad.	1
Kristin feels relieved.	1
Kristin feels excited.	1
Nancy feels angry.	0
Nancy feels furious.	0
Nancy feels irritated.	0
Nancy feels enraged.	0
Nancy feels annoyed.	0
Nancy feels sad.	0
Nancy feels depressed.	0
Nancy feels devastated.	0
Nancy feels miserable.	0
Nancy feels disappointed.	0
Nancy feels terrified.	0
Nancy feels discouraged.	0
Nancy feels scared.	0
Nancy feels anxious.	0
Nancy feels 0ful.	0
Nancy feels happy.	1
Nancy feels ecstatic.	1
Nancy feels glad.	1
Nancy feels relieved.	1
Nancy feels excited.	1
Stephanie feels angry.	0
Stephanie feels furious.	0
Stephanie feels irritated.	0
Stephanie feels enraged.	0
Stephanie feels annoyed.	0
Stephanie feels sad.	0
Stephanie feels depressed.	0
Stephanie feels devastated.	0
Stephanie feels miserable.	0
Stephanie feels disappointed.	0
Stephanie feels terrified.	0
Stephanie feels discouraged.	0
Stephanie feels scared.	0
Stephanie feels anxious.	0
Stephanie feels 0ful.	0
Stephanie feels happy.	1
Stephanie feels ecstatic.	1
Stephanie feels glad.	1
Stephanie feels relieved.	1
Stephanie feels excited.	1
Ellen feels angry.	0
Ellen feels furious.	0
Ellen feels irritated.	0
Ellen feels enraged.	0
Ellen feels annoyed.	0
Ellen feels sad.	0
Ellen feels depressed.	0
Ellen feels devastated.	0
Ellen feels miserable.	0
Ellen feels disappointed.	0
Ellen feels terrified.	0
Ellen feels discouraged.	0
Ellen feels scared.	0
Ellen feels anxious.	0
Ellen feels 0ful.	0
Ellen feels happy.	1
Ellen feels ecstatic.	1
Ellen feels glad.	1
Ellen feels relieved.	1
Ellen feels excited.	1
She feels angry.	0
She feels furious.	0
She feels irritated.	0
She feels enraged.	0
She feels annoyed.	0
She feels sad.	0
She feels depressed.	0
She feels devastated.	0
She feels miserable.	0
She feels disappointed.	0
She feels terrified.	0
She feels discouraged.	0
She feels scared.	0
She feels anxious.	0
She feels 0ful.	0
She feels happy.	1
She feels ecstatic.	1
She feels glad.	1
She feels relieved.	1
She feels excited.	1
This woman feels angry.	0
This woman feels furious.	0
This woman feels irritated.	0
This woman feels enraged.	0
This woman feels annoyed.	0
This woman feels sad.	0
This woman feels depressed.	0
This woman feels devastated.	0
This woman feels miserable.	0
This woman feels disappointed.	0
This woman feels terrified.	0
This woman feels discouraged.	0
This woman feels scared.	0
This woman feels anxious.	0
This woman feels 0ful.	0
This woman feels happy.	1
This woman feels ecstatic.	1
This woman feels glad.	1
This woman feels relieved.	1
This woman feels excited.	1
This girl feels angry.	0
This girl feels furious.	0
This girl feels irritated.	0
This girl feels enraged.	0
This girl feels annoyed.	0
This girl feels sad.	0
This girl feels depressed.	0
This girl feels devastated.	0
This girl feels miserable.	0
This girl feels disappointed.	0
This girl feels terrified.	0
This girl feels discouraged.	0
This girl feels scared.	0
This girl feels anxious.	0
This girl feels 0ful.	0
This girl feels happy.	1
This girl feels ecstatic.	1
This girl feels glad.	1
This girl feels relieved.	1
This girl feels excited.	1
My sister feels angry.	0
My sister feels furious.	0
My sister feels irritated.	0
My sister feels enraged.	0
My sister feels annoyed.	0
My sister feels sad.	0
My sister feels depressed.	0
My sister feels devastated.	0
My sister feels miserable.	0
My sister feels disappointed.	0
My sister feels terrified.	0
My sister feels discouraged.	0
My sister feels scared.	0
My sister feels anxious.	0
My sister feels 0ful.	0
My sister feels happy.	1
My sister feels ecstatic.	1
My sister feels glad.	1
My sister feels relieved.	1
My sister feels excited.	1
My daughter feels angry.	0
My daughter feels furious.	0
My daughter feels irritated.	0
My daughter feels enraged.	0
My daughter feels annoyed.	0
My daughter feels sad.	0
My daughter feels depressed.	0
My daughter feels devastated.	0
My daughter feels miserable.	0
My daughter feels disappointed.	0
My daughter feels terrified.	0
My daughter feels discouraged.	0
My daughter feels scared.	0
My daughter feels anxious.	0
My daughter feels 0ful.	0
My daughter feels happy.	1
My daughter feels ecstatic.	1
My daughter feels glad.	1
My daughter feels relieved.	1
My daughter feels excited.	1
My wife feels angry.	0
My wife feels furious.	0
My wife feels irritated.	0
My wife feels enraged.	0
My wife feels annoyed.	0
My wife feels sad.	0
My wife feels depressed.	0
My wife feels devastated.	0
My wife feels miserable.	0
My wife feels disappointed.	0
My wife feels terrified.	0
